didok;stationsbezeichnung;parkrail_anzahl;parkrail_preis_tag;parkrail_preis_monat;parkrail_preis_jahr;parkrail_pflichtig_zeit1;parkrail_pflichtig_zeit2;parkrail_pflichtig_zeit3;parkrail_bemerkung;railtaxitext;railtaxiinfo;mietvelo_bezeichnung;mietvelo_anzahl;mietvelo_bemerkung;veloparking_status_d;veloparking_bemerkung_d;veloparking_abschliessbar;veloparking_abschliessbar_text;carsharing standort_bezeichnung;parkrail_App;parkrail_Webshop;parkrail_Lokal;BPUIC;Name Haltestelle;lod;geopos;plz;meteo;tu-nummer;Abkuerzung Bahnhof
1500;Martigny;36.0;10.0;0.0;0.0;00.00 - 24.00;00.00 - 24.00;00.00 - 24.00;Monats- und Jahresabonnemente sind bei der Stadtpolizei Martigny zu lösen: 50.-/Monat, 550.-/Jahr für den Parkplatz Les Neuvilles (7 Min. zu Fuss vom Bahnhof) und 100.-/Monat, 1100.-/Jahr für den Parkplatz am Busbahnhof. Diese Abos sind ohne Bahnabo erhältlich.;;;;;;Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt;;0;;Martigny Gare;1;0;1;8501500;Martigny;http://lod.opentransportdata.swiss/didok/8501500;46.1058312072,7.07912412849;1920;https://meteo.sbb.ch/?didok=8501500;11;MA
1501;Charrat-Fully;14.0;0.0;0.0;0.0;;;;;;;;;;Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt;;0;;;0;0;0;8501501;Charrat-Fully;http://lod.opentransportdata.swiss/didok/8501501;46.1268128794,7.12647659794;1906;https://meteo.sbb.ch/?didok=8501501;11;CHAR
1502;Saxon;;;;;;;;;;;;;;Immer genügend Veloabstellplätze verfügbar;;0;;;;;;8501502;Saxon;http://lod.opentransportdata.swiss/didok/8501502;46.1493833784,7.17343599205;1907;https://meteo.sbb.ch/?didok=8501502;11;SAX
1503;Riddes;18.0;0.0;0.0;0.0;;;;;;;;;;Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt;;0;;;0;0;0;8501503;Riddes;http://lod.opentransportdata.swiss/didok/8501503;46.1725111501,7.21785442217;1908;https://meteo.sbb.ch/?didok=8501503;11;RID
1504;Chamoson;11.0;0.0;0.0;0.0;;;;;;;;;;Immer genügend Veloabstellplätze verfügbar;;0;;;0;0;0;8501504;Chamoson-St-Pierre-de-Clages;http://lod.opentransportdata.swiss/didok/8501504;46.1888363807,7.24109904693;1955;https://meteo.sbb.ch/?didok=8501504;11;CHA
1505;Ardon;7.0;0.0;0.0;0.0;;;;;Gratisnummer 0800 44 22 66;;;;;Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt;;0;;;0;0;0;8501505;Ardon;http://lod.opentransportdata.swiss/didok/8501505;46.2085941692,7.27094677176;1957;https://meteo.sbb.ch/?didok=8501505;11;ARD
1506;Sion;182.0;10.0;80.0;800.0;00.00 - 24.00;00.00 - 24.00;00.00 - 24.00;Zum P+Rail gehören <br> Sion (Gare-sud): 52 Parkplätze südlich des Bahnhofs (nur Stunden- und Tagesparking) <br>  Sion Vers le Pont: 37 Parkplätze am Cour de gare (Tagesparking und Abonnemente) <br>  Sion Oscar-Bider: 60 Parkplätze an der Rue Oscar Bider (nur Abonnemente) <br>  Sion Entrepôts: 33 Parkplätze an der Rue des Entrepôts (nur Abonnemente);;;;;;Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt;;0;;;1;1;1;8501506;Sion;http://lod.opentransportdata.swiss/didok/8501506;46.2275531964,7.35919703457;1950;https://meteo.sbb.ch/?didok=8501506;11;SIO
1507;St-Léonard;6.0;0.0;0.0;0.0;;;;;;;;;;Immer genügend Veloabstellplätze verfügbar;;0;;;0;0;0;8501507;St-Léonard;http://lod.opentransportdata.swiss/didok/8501507;46.2514885752,7.41956823287;1958;https://meteo.sbb.ch/?didok=8501507;11;SL
1509;Sierre/Siders;133.0;10.0;70.0;700.0;00.00 - 24.00;00.00 - 24.00;00.00 - 24.00;86 Plätze auf der Nordseite für Tages- und Stundenparking sowie für die Besitzer von Monatsabonnementen.  <br> 47 Plätze auf der Südseite reserviert für die Besitzer von Jahresabonnementen.;Gratisnummer 0800 44 22 66;;;;;Knappe Verfügbarkeit von Veloabstellplätzen, teilweise überbelegt;;0;;Sierre / Siders Gare;1;1;1;8501509;Sierre/Siders;http://lod.opentransportdata.swiss/didok/8501509;46.2921215638,7.53282555582;3960;https://meteo.sbb.ch/?didok=8501509;11;SIE
1510;Châteauneuf-Conthey;;;;;;;;;;;;;;Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt;;0;;;;;;8501510;Châteauneuf-Conthey;http://lod.opentransportdata.swiss/didok/8501510;46.2161086897,7.30510219999;1964;https://meteo.sbb.ch/?didok=8501510;11;CHF
1600;Salgesch;;;;;;;;;;;;;;Immer genügend Veloabstellplätze verfügbar;;0;;;;;;8501600;Salgesch;http://lod.opentransportdata.swiss/didok/8501600;46.3091953366,7.57819435695;3970;https://meteo.sbb.ch/?didok=8501600;11;SAL
1601;Leuk;132.0;5.0;50.0;500.0;00.00 - 24.00;00.00 - 24.00;00.00 - 24.00;;;;;;;Immer genügend Veloabstellplätze verfügbar;;0;;Leuk Bahnhof;1;1;1;8501601;Leuk;http://lod.opentransportdata.swiss/didok/8501601;46.3115795117,7.64493650277;3952;https://meteo.sbb.ch/?didok=8501601;11;LK
1602;Turtmann;15.0;4.0;40.0;400.0;00.00 - 24.00;00.00 - 24.00;00.00 - 24.00;;;;;;;Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt;;0;;;1;0;1;8501602;Turtmann;http://lod.opentransportdata.swiss/didok/8501602;46.3093314147,7.69960496792;3946;https://meteo.sbb.ch/?didok=8501602;11;TUR
1603;Gampel-Steg;49.0;4.0;40.0;400.0;00.00 - 24.00;00.00 - 24.00;00.00 - 24.00;;;;;;;Immer genügend Veloabstellplätze verfügbar;;0;;;1;1;1;8501603;Gampel-Steg;http://lod.opentransportdata.swiss/didok/8501603;46.3065154809,7.74758116307;3942;https://meteo.sbb.ch/?didok=8501603;11;GA
1604;Raron;38.0;4.0;40.0;400.0;00.00 - 24.00;00.00 - 24.00;00.00 - 24.00;;;;;;;Immer genügend Veloabstellplätze verfügbar;;0;;;1;1;1;8501604;Raron;http://lod.opentransportdata.swiss/didok/8501604;46.3062744146,7.80151060193;3942;https://meteo.sbb.ch/?didok=8501604;11;RAR
1605;Visp;162.0;7.0;80.0;960.0;00.00 - 24.00;00.00 - 24.00;00.00 - 24.00;"Parkhaus der Gemeinde  <br>  Kein Verkauf am Bahnschalter  <br> Stunden-/Tageskarten am Automaten,  <br>  <br> Bezug Monats- und Jahreskarten bei Gemeindepolizei Visp (Tel. 027 948 99 45), auch ohne Besitz eines GA (Warteliste).  <br> Die obengenannten Preise gelten für das 3. und 4. UG. Im 1. und 2. UG gelten folgende Preise: Tag: CHF 14.-;; Monat: CHF 90.- und Jahr: CHF 1 080.-.";Gratisnummer 0800 44 22 66;"Zugehörige Agglomerationsstandorte: alle Destinationen von/nach Visp ohne Zuschlag.

RailTaxi-Partner: Taxi Zerzuben, Visp";;;;Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt;;0;;Visp Bahnhof;0;0;1;8501605;Visp;http://lod.opentransportdata.swiss/didok/8501605;46.2940291354,7.88146547575;3930;https://meteo.sbb.ch/?didok=8501605;11;VI
1609;Brig;55.0;8.0;60.0;600.0;00.00 - 24.00;00.00 - 24.00;00.00 - 24.00;Angaben für Anlage Süd sind oben ersichtlich <br>  <br> Weitere Anlage Nord mit 69 PP, Preise 4.-/Tag 40.-/Monat.;Gratisnummer 0800 44 22 66;"Treffpunkt RailTaxi: neben Haupteingang
Zugehörige Agglomerationsstandorte: Brig, Glis
Partner: Taxi Aletsch, Brig-Glis";;;;Normalerweise genügend Veloabstellplätze verfügbar, teilweise voll belegt;;0;Gepäckschalter;Brig Bahnhof;1;1;1;8501609;Brig;http://lod.opentransportdata.swiss/didok/8501609;46.3194227058,7.9880947394;3900;https://meteo.sbb.ch/?didok=8501609;11;BR
2000;Aarburg-Oftringen;25.0;4.0;40.0;400.0;08.00 - 19.00;08.00 - 19.00;;;Gratisnummer 0800 44 22 66;;;;;Immer genügend Veloabstellplätze verfügbar;;0;;Aarburg Bahnhof;1;1;1;8502000;Aarburg-Oftringen;http://lod.opentransportdata.swiss/didok/8502000;47.3202684695,7.90822260672;4663;https://meteo.sbb.ch/?didok=8502000;11;ABO
